Cluster,Line,name,type,area,floor,el1,el2,case,transfer,lift,old,disable,honor,exDis,total,x좌표,y좌표
1,1,서울역,섬식,8725,2,1,3,3,0,3,1964968,6.44969,50650,1.8850198,21460135,37.554648,126.972559
1,1,시청역,상대식,6863,2,1,1,1,1,0,1077904,2.48367,22747,0.7821202,9147473,37.564718,126.977108
1,1,종각역,상대식,6993,2,1,2,2,NA,NA,1488014,3.64349,30246,1.4757775,16610138,37.570161,126.982923
1,1,종로3가역,상대식,5628,2,1,1,1,0,4,3685909,6.33436,65557,0.8597849,12917194,37.571607,126.991806
1,1,종로5가역,상대식,7822,2,1,1,1,NA,NA,2718723,4.43097,35426,0.645031,9612130,37.570926,127.001849
1,1,동대문역,상대식,3400,2,1,1,1,0,1,1309184,2.98448,16730,0.410834,5715972,37.57142,127.009745
1,1,동묘앞역,상대식,5279,1,1,1,1,1,0,1364429,3.05029,22619,0.211684,3786298,37.572627,127.016429
1,1,신설동역,상대식,4164,2,1,3,3,0,7,1172936,2.64811,16064,0.4354875,5792622,37.575297,127.025087
1,1,제기동역,상대식,5105,2,1,1,1,NA,NA,3322146,4.29647,28539,0.3546136,7297929,37.578103,127.034893
2,1,청량리역,섬식,5354,2,1,0,0,NA,NA,3413844,5.76792,40047,0.6203948,10194584,37.580178,127.046835
2,2,시청역,섬식,9008,3,1,1,1,1,0,647023,1.47175,14919,0.7983667,8777865,37.564718,126.977108
1,2,을지로입구역,상대식,6142,3,1,2,2,NA,NA,1114815,2.61053,21415,1.6449402,17825270,37.566014,126.982618
1,2,을지로3가역,상대식,4522,2,1,1,1,1,0,870276,1.68789,14690,0.629506,7334125,37.566295,126.99191
1,2,을지로4가역,상대식,4121,2,1,1,1,0,2,934644,1.70354,12127,0.3452661,4557659,37.566941,126.998079
1,2,동대문사문화공원역,상대식,4972,2,1,1,1,0,3,558190,1.44246,8113,0.6299855,7002291,37.565138,127.007896
1,2,신당역,상대식,3701,2,1,1,1,0,2,1033263,2.18999,13653,0.427717,5529432,37.565972,127.01782
1,2,상왕십리역,상대식,4041,2,1,1,1,NA,NA,630004,1.42238,6938,0.3981223,4753465,37.564354,127.029354
1,2,왕십리역,상대식,7275,2,0.5,2,1,0.5,0.5,529126,1.63822,10267,0.6658967,7351915,37.561533,127.037732
1,2,한양대역,상대식,3807,2,1,2,2,NA,NA,142450,0.4649,4201,0.3936381,4125321,37.555273,127.043655
1,2,뚝섬역,상대식,4961,2,1,1,1,NA,NA,590109,1.70795,9952,0.5247665,6008569,37.547184,127.047367
1,2,성수역,복합식,6807,2,1,1,1,NA,NA,837549,3.40227,14730,0.8387476,9565252,37.544581,127.055961
1,2,신답역,상대식,700,2,1,1,1,NA,NA,99160,0.24292,772,0.0383868,507320,37.57004,127.046481
1,2,용두역,상대식,3180,2,1,2,2,NA,NA,224351,0.47915,1723,0.0577689,849955,37.574028,127.038091
2,2,신설동역,상대식,2728,3,0.5,0,0,0,7,333686,0.75897,5184,0.109958,1509163,37.575297,127.025087
1,2,건대입구역,상대식,3969,2,0.5,1,0.5,0,5,876342,2.54979,13371,1.5276291,16407612,37.540693,127.07023
1,2,구의역,상대식,3236,2,1,1,1,NA,NA,1002781,2.4147,14320,0.7350548,8594799,37.537077,127.085916
1,2,강변역,상대식,1791,2,1,1,1,NA,NA,1397777,3.06362,29055,1.5935269,17639408,37.535095,127.094681
1,2,잠실나루역,상대식,2408,2,1,1,1,NA,NA,882813,1.56505,14768,0.5322819,6362137,37.520733,127.10379
1,2,잠실역,상대식,6284,2,1,2,2,1,1,2118338,4.81082,78821,2.9874989,32474409,37.51395,127.102234
1,2,잠실새내역,상대식,4141,2,1,2,2,NA,NA,1183590,2.04346,19186,0.8308835,9696771,37.511687,127.086162
1,2,종합운동장역,상대식,13442,2,1,1,1,NA,NA,550179,1.04137,10907,0.5137768,5792084,37.510997,127.073642
