Line,name,x좌표,y좌표
1,청량리역,37.580178,127.046835
2,신설동역,37.575297,127.025087
2,건대입구역,37.540693,127.07023
2,용답역,37.561904,127.050899
3,교대역,37.493415,127.01408
4,창동역,37.653166,127.047731
4,동대문역사문화공원역,37.565138,127.007896
4,명동역,37.560989,126.986325
5,까치산역,37.531768,126.846683
5,광화문역,37.571026,126.976669
5,종로3가역,37.571607,126.991806
5,동대문역사문화공원역,37.565138,127.007896
5,마장역,37.5661,127.042973
5,강동역,37.535804,127.132481
5,마천역,37.49499,127.152781
5,상일동역,37.556712,127.166417
6,구산역,37.611377,126.91727
6,새절역,37.591148,126.913629
6,상수역,37.547716,126.922852
6,대흥역,37.547771,126.942069
6,효창공원앞역,37.539261,126.961351
6,약수역,37.55434,127.010655
6,동묘앞역,37.572627,127.016429
6,보문역,37.585286,127.019381
6,상월곡역,37.606377,127.048491
6,봉화산역,37.617283,127.091401
7,수락산역,37.67785,127.055315
7,청담역,37.519365,127.05335
7,강남구청역,37.517186,127.04128
7,학동역,37.514229,127.031656
7,고속터미널역,37.50481,127.004943
7,광명사거리역,37.479252,126.854876
7,건대입구역,37.540693,127.07023
7,남구로역,37.486056,126.887249
8,천호역,37.538397,127.123572
8,복정역,37.470047,127.126662
8,남한산성입구역,37.451535,127.159816
8,신흥역,37.440918,127.147564
8,수진역,37.437428,127.140722
1,서울역,37.554648,126.972559
1,종로3가역,37.571607,126.991806
1,동대문역,37.57142,127.009745
1,신설동역,37.575297,127.025087
2,을지로4가역,37.566941,126.998079
2,동대문사문화공원역,37.565138,127.007896
2,신당역,37.565972,127.01782
2,신설동역,37.575297,127.025087
2,건대입구역,37.540693,127.07023
2,교대역,37.493415,127.01408
2,대림역,37.49297,126.895801
2,영등포구청역,37.52497,126.895951
3,불광역,37.610469,126.929887
3,약수역,37.55434,127.010655
3,고속터미널역,37.50481,127.004943
3,교대역,37.493415,127.01408
3,종로3가역,37.571607,126.991806
4,노원역,37.655128,127.061368
4,동대문역,37.57142,127.009745
4,동대문역사문화공원역,37.565138,127.007896
4,충무로역,37.561243,126.99428
5,영등포구청역,37.52497,126.895951
5,종로3가역,37.571607,126.991806
5,동대문역사문화공원역,37.565138,127.007896
5,을지로4가역,37.566941,126.998079
6,불광역,37.610469,126.929887
6,약수역,37.55434,127.010655
6,신당역,37.565972,127.01782
7,노원역,37.655128,127.061368
7,고속터미널역,37.50481,127.004943
7,대림역,37.49297,126.895801
7,건대입구역,37.540693,127.07023
